#   x         y(x)            y(x)^2      classical p(x)    V
 -10.000  0.30290718E-19  0.91752757E-39  0.00000000E+00   50.000000
  -9.989  0.60893722E-19  0.37080454E-38  0.00000000E+00   49.894792
  -9.979  0.92123217E-19  0.84866872E-38  0.00000000E+00   49.789695
  -9.968  0.12429841E-18  0.15450094E-37  0.00000000E+00   49.684709
  -9.958  0.15774673E-18  0.24884032E-37  0.00000000E+00   49.579834
  -9.947  0.19280715E-18  0.37174596E-37  0.00000000E+00   49.475069
  -9.937  0.22983349E-18  0.52823431E-37  0.00000000E+00   49.370416
  -9.926  0.26919796E-18  0.72467542E-37  0.00000000E+00   49.265873
  -9.916  0.31129480E-18  0.96904455E-37  0.00000000E+00   49.161440
  -9.905  0.35654410E-18  0.12712369E-36  0.00000000E+00   49.057119
  -9.895  0.40539583E-18  0.16434578E-36  0.00000000E+00   48.952909
  -9.884  0.45833421E-18  0.21007025E-36  0.00000000E+00   48.848809
  -9.874  0.51588233E-18  0.26613458E-36  0.00000000E+00   48.744820
  -9.863  0.57860707E-18  0.33478614E-36  0.00000000E+00   48.640942
  -9.853  0.64712451E-18  0.41877013E-36  0.00000000E+00   48.537175
  -9.842  0.72210571E-18  0.52143666E-36  0.00000000E+00   48.433518
  -9.832  0.80428301E-18  0.64687116E-36  0.00000000E+00   48.329972
  -9.821  0.89445686E-18  0.80005307E-36  0.00000000E+00   48.226537
  -9.811  0.99350327E-18  0.98704874E-36  0.00000000E+00   48.123213
  -9.800  0.11023820E-17  0.12152460E-35  0.00000000E+00   48.020000
  -9.789  0.12221452E-17  0.14936389E-35  0.00000000E+00   47.916898
  -9.779  0.13539475E-17  0.18331739E-35  0.00000000E+00   47.813906
  -9.768  0.14990563E-17  0.22471699E-35  0.00000000E+00   47.711025
  -9.758  0.16588635E-17  0.27518282E-35  0.00000000E+00   47.608255
  -9.747  0.18348982E-17  0.33668514E-35  0.00000000E+00   47.505596
  -9.737  0.20288406E-17  0.41161940E-35  0.00000000E+00   47.403047
  -9.726  0.22425372E-17  0.50289730E-35  0.00000000E+00   47.300609
  -9.716  0.24780178E-17  0.61405724E-35  0.00000000E+00   47.198283
  -9.705  0.27375137E-17  0.74939810E-35  0.00000000E+00   47.096066
  -9.695  0.30234774E-17  0.91414156E-35  0.00000000E+00   46.993961
  -9.684  0.33386054E-17  0.11146286E-34  0.00000000E+00   46.891967
  -9.674  0.36858619E-17  0.13585578E-34  0.00000000E+00   46.790083
  -9.663  0.40685051E-17  0.16552734E-34  0.00000000E+00   46.688310
  -9.653  0.44901169E-17  0.20161149E-34  0.00000000E+00   46.586648
  -9.642  0.49546341E-17  0.24548399E-34  0.00000000E+00   46.485097
  -9.632  0.54663839E-17  0.29881353E-34  0.00000000E+00   46.383657
  -9.621  0.60301216E-17  0.36362366E-34  0.00000000E+00   46.282327
  -9.611  0.66510730E-17  0.44236772E-34  0.00000000E+00   46.181108
